Accession	PlasmidSize	log10PlasmidSize	CollectionDate	NumInsertionSequences	InsertionSequenceDensity	BiocideMetalResistance	Virulence	Integron	ConjugativeSystem	GeographicLocation	IsolationSource	RepliconCarriage	HostTaxonomy	outcomeaminoglycoside	outcomebetalactam_carbapenem	outcomebetalactam_ESBL	outcomebetalactam_other	outcomemacrolide	outcomephenicol	outcomequinolone	outcomesulphonamide	outcometetracycline	outcometrimethoprim	NumOtherResistanceClassesaminoglycoside	NumOtherResistanceClassesbetalactam_carbapenem	NumOtherResistanceClassesbetalactam_ESBL	NumOtherResistanceClassesbetalactam_other	NumOtherResistanceClassesmacrolide	NumOtherResistanceClassesphenicol	NumOtherResistanceClassesquinolone	NumOtherResistanceClassessulphonamide	NumOtherResistanceClassestetracycline	NumOtherResistanceClassestrimethoprim
KY865319.1	37663	0.57591491025193	23	1	0.265512572020285	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	1	1	0	0	0	0	2	2	2	2	1	1	2	2	2	2
KY865320.1	67077	0.826573630669576	23	3	0.447247193523861	0	0	0	mobilisable	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	1	1	0	0	0	0	2	2	2	2	1	1	2	2	2	2
KY865321.1	92545	0.966352959760253	23	3	0.324166621643525	0	0	0	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	0	1	0	1	1	0	4	5	5	5	5	5	5	4	5	5
KY865322.1	77822	0.891102387837583	23	3	0.385495104212177	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	0	0	0	0	1	1	0	3	4	3	4	4	4	4	3	3	4
KY865323.1	113006	1.05310150275523	23	6	0.530945259543741	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	0	0	1	0	1	4	5	4	4	5	5	5	4	5	4
KY865324.1	16293	0.21200105751229	23	3	1.05	0	0	0	non-mobilisable	other	other	untyped	Enterobacteriaceae	0	0	1	0	0	0	0	0	1	0	2	2	1	2	2	2	2	2	1	2
KY883660.1	311693	1.49372704900283	23	9	0.234957387273854	1	0	1	non-mobilisable	other	other	untyped	Proteobacteria_other	1	1	0	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
KY887590.1	228517	1.3589185139532	23	7	0.306322943150838	1	0	1	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	1	0	1	1	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
KY887591.1	188855	1.27612848740905	23	4	0.211802705779566	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	0	1	1	0	1	0	0	4	4	5	5	4	4	5	4	5	5
KY887592.1	219342	1.3411217991275	23	6	0.273545422217359	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	1	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
KY887593.1	200459	1.30202555952689	23	3	0.149656538244728	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	1	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
KY887594.1	215528	1.33350369888454	23	5	0.231988419138117	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	1	1	1	1	0	0	4	5	5	5	5	5	5	4	5	5
KY887595.1	233057	1.36746215174712	23	7	0.300355706972972	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	0	1	1	0	1	0	0	4	4	5	5	4	4	5	4	5	5
KY887596.1	165169	1.21792853939911	23	4	0.242176195290884	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	1	1	0	1	0	0	4	5	5	5	5	5	5	4	5	5
KY888886.1	53802	0.730798420142587	23	6	1.05	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	1	1	0	0	0	0	0	1	1	0	3	3	4	4	4	4	4	3	3	4
KY930324.1	51169	0.709006929602064	23	5	0.977154136293459	1	0	0	non-mobilisable	other	other	untyped	Enterobacteriaceae	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2
KY930325.1	66602	0.823487270850815	23	6	0.900873847632203	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	1	0	1	0	0	0	0	0	3	3	3	4	3	4	4	4	4	4
KY930475.1	4192	-0.37757872602433	23	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1
KY940428.1	236312	1.37348577580697	23	5	0.211584684654186	0	1	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY940546.1	88127	0.94510898621628	23	6	0.680835612241424	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0
KY964067.1	33303	0.522483357373011	23	1	0.300273248656277	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY964068.1	89458	0.951619184484154	23	3	0.335352903038297	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
KY978588.1	3337	-0.476643793345207	24	0	0	0	0	0	mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY978628.1	311693	1.49372704900283	23	8	0.255689082076195	1	0	1	mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
KY978629.1	53793	0.730725765273006	23	5	0.929488966965962	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	1	1	0	0	0	0	0	0	0	2	1	1	2	2	2	2	2	2	2
KY978630.1	139553	1.14473917704422	23	2	0.143314726304701	0	1	0	non-mobilisable	other	other	single-replicon	Enterobacteriaceae	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
KY978631.1	73522	0.866417312539504	23	3	0.408041130545959	0	0	1	conjugative	other	other	untyped	Enterobacteriaceae	1	1	1	0	0	0	0	0	0	0	2	2	2	3	3	3	3	3	3	3
KY984045.1	9284	-0.03226486821612	3	0	0	0	0	0	mobilisable	high-income	human	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY984046.1	11891	0.0752183791115355	3	0	0	0	0	0	non-mobilisable	high-income	human	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY984047.1	24808	0.39459175322927	3	4	1.05	0	0	0	mobilisable	high-income	human	untyped	Proteobacteria_other	1	1	0	0	0	0	0	0	0	0	1	1	2	2	2	2	2	2	2	2
KY986974.1	190310	1.27946160925767	23	9	0.578004308759393	1	0	1	mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	1	0	1	0	1	0	1	1	0	4	5	5	5	5	5	5	4	5	5
KY990887.1	254048	1.40491578026429	23	9	0.35426376117899	1	0	1	mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	0	1	0	1	1	0	1	0	1	4	5	5	5	5	5	5	4	5	5
KY991369.1	3071	-0.512720183556931	23	0	0	0	0	0	non-mobilisable	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1
KY994647.1	4984	-0.302421966348887	23	0	0	0	0	0	mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L31578.1	2970	-0.527243550682788	0	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC012933.1	3788	-0.421590029668764	21	0	0	0	0	0	mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
LC019731.1	102199	1.00944664632113	21	3	0.293544946623744	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	1	0	0	2	2	2	1	2	2	2	1	2	2
LC055503.1	160687	1.20598074262122	21	5	0.311163939833341	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	1	1	1	0	1	4	5	5	5	5	5	5	4	5	5
LC075345.1	5366	-0.27034933166408	22	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC081338.1	311693	1.49372704900283	22	7	0.218710358747477	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	1	0	0	1	1	0	3	3	3	3	2	3	3	2	2	3
LC102479.1	14566	0.163340305618251	22	1	0.686530275985171	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	1	0	0	0	1	0	0	0	0	0	1	2	2	2	1	2	2	2	2	2
LC128536.1	116535	1.0664563805038	22	3	0.257433389110568	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC155906.1	26345	0.420698202908807	22	0	0	1	0	1	mobilisable	other	other	untyped	Proteobacteria_other	0	1	0	0	0	0	0	1	0	0	2	1	2	2	2	2	2	1	2	2
LC155907.1	19889	0.298612947759947	22	1	0.502790487203982	0	0	1	mobilisable	other	other	single-replicon	Proteobacteria_other	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
LC155908.1	38744	0.588204456038483	22	5	1.05	1	0	1	non-mobilisable	other	other	single-replicon	Enterobacteriaceae	1	0	0	0	0	0	0	1	1	1	3	4	4	4	4	4	4	3	3	3
LC155909.1	34541	0.538334906717115	22	0	0	0	0	0	conjugative	other	other	untyped	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
LC201956.1	2942	-0.531357331608489	23	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC201957.1	2942	-0.531357331608489	23	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC205736.1	31654	0.500428598023598	23	3	0.947747520060656	0	0	0	mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC215275.1	2942	-0.531357331608489	23	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC225353.1	150115	1.17642409058935	23	2	0.133231189421444	0	0	0	conjugative	other	other	single-replicon	Proteobacteria_other	1	0	0	0	0	1	0	1	1	0	3	4	4	4	4	3	4	3	3	4
LC227558.2	33304	0.522496397878721	23	1	0.300264232524622	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC229233.1	7038	-0.152550737500827	24	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC316979.1	30643	0.486331281184666	23	3	0.979016414841889	0	0	0	mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC316980.1	31839	0.502959418949363	23	3	0.942240648261566	0	0	0	mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC316981.1	30639	0.486274586627371	23	3	0.979144227944776	0	0	0	mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC317093.1	4443	-0.352323686759129	23	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC331662.1	5421	-0.265920592719405	24	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC331663.1	5444	-0.264081883468703	24	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC383633.1	32573	0.512857759284724	24	1	0.307002732324318	1	0	0	non-mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC438464.1	4087	-0.388595362288406	18	0	0	0	0	0	mobilisable	high-income	human	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC438465.1	6646	-0.177439663057308	16	0	0	0	0	0	mobilisable	high-income	human	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LC467982.1	108745	1.03640929760525	25	6	0.551749505724401	0	0	0	non-mobilisable	other	other	single-replicon	Enterobacteriaceae	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
LK031773.1	89524	0.95193947855959	20	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LK391770.1	94893	0.977234176879357	21	4	0.421527404550388	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	0	0	0	0	0	0	0	1	2	1	2	2	2	2	2	2	2
LM651913.1	3369	-0.47249898901888	20	0	0	0	0	0	mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN610760.1	54036	0.732683193010558	20	3	0.555185431934266	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	0	0	0	0	0	0	2	2	3	2	3	3	3	3	3	3
LN623683.2	62139	0.793364259894553	20	1	0.160929528959269	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1
LN679999.1	103770	1.01607181673402	20	0	0	0	1	0	mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN680000.1	37131	0.569736645661217	20	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN681229.1	16923	0.228477354445056	20	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN681230.1	103917	1.01668660051443	20	4	0.384922582445606	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN681232.1	117338	1.06943868149096	20	0	0	0	1	0	mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN681235.1	106013	1.02535912452974	20	2	0.188656108213144	0	1	0	mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN713926.1	307330	1.48760495595612	21	1	0.0325383138645755	1	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN713927.1	157450	1.19714266497256	21	3	0.190536678310575	1	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN735558.1	124492	1.09514144406239	21	5	0.401632233396523	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	0	0	1	0	0	0	0	2	3	2	3	3	2	3	3	3	3
LN735559.1	123252	1.09079397526705	21	5	0.40567293025671	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	1	0	0	0	0	3	4	3	3	4	3	4	4	4	4
LN735560.1	114911	1.06036160406374	21	3	0.261071611943156	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	0	0	0	0	0	2	3	2	2	3	3	3	3	3	3
LN735561.1	125315	1.09800305844292	21	5	0.398994533774887	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	1	0	0	0	0	3	4	3	3	4	3	4	4	4	4
LN735562.1	25081	0.399344848180368	21	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN794247.1	128925	1.11033714007875	21	7	0.542951328291642	1	1	1	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	0	1	0	1	0	1	0	1	4	5	5	4	5	4	5	4	5	4
LN794248.1	300375	1.47766378381196	21	8	0.266333749479817	1	0	1	mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	0	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
LN809998.1	41240	0.615318656611479	16	2	0.484966052376334	1	0	0	non-mobilisable	EU	human	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN811400.1	45729	0.660191704349621	18	1	0.218679612499727	0	0	0	conjugative	EU	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN828719.1	3779	-0.422623108082985	19	0	0	0	0	0	non-mobilisable	United States	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN830952.1	298984	1.47564794786411	16	7	0.234126240869077	1	0	1	mobilisable	other	human	multi-replicon	Enterobacteriaceae	1	0	1	1	0	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
LN831184.1	311693	1.49372704900283	21	9	0.282240310690134	1	0	1	conjugative	middle-income	other	untyped	Proteobacteria_other	1	1	0	1	1	1	0	1	1	0	4	5	5	5	5	5	5	4	5	5
LN831185.1	167382	1.22370875281501	21	5	0.298717902761348	1	0	1	conjugative	middle-income	other	single-replicon	Proteobacteria_other	1	1	0	1	1	1	0	1	0	0	4	5	5	5	5	5	5	4	5	5
LN833191.1	37388	0.572732234017682	21	0	0	0	1	0	mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN833432.1	84623	0.927488417595972	21	7	0.827198279427579	1	0	0	non-mobilisable	middle-income	human	untyped	Proteobacteria_other	1	1	0	0	1	0	0	1	0	1	4	4	5	5	4	5	5	4	5	4
LN835295.1	89692	0.952753708252602	21	2	0.222985327565446	0	0	0	conjugative	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN846931.1	97275	0.98800123947578	23	5	0.514006682086867	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN846932.1	58851	0.769753846802089	23	3	0.509761941173472	0	0	0	conjugative	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN846933.1	11970	0.078094150406411	23	0	0	0	0	0	mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN850163.1	167198	1.22323107816186	21	8	0.478474622902188	1	1	1	mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
LN854558.1	90748	0.957837062374429	11	3	0.330585798034116	0	0	0	non-mobilisable	EU	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN854559.1	38395	0.584274671924986	11	3	0.781351738507618	0	0	0	mobilisable	EU	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN854560.1	10641	0.0269824431916055	11	0	0	0	0	0	non-mobilisable	EU	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN864819.1	84252	0.9255802190823	21	4	0.474766177657504	1	0	1	conjugative	other	other	single-replicon	Enterobacteriaceae	1	1	0	1	0	0	0	1	0	0	3	3	4	3	4	4	4	3	4	4
LN864820.1	49151	0.691532358181663	21	2	0.406909320257981	0	0	0	non-mobilisable	other	other	single-replicon	Enterobacteriaceae	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
LN864821.1	63434	0.802322097857424	21	2	0.315288331178863	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1
LN866850.1	26140	0.417305583244525	21	2	0.765110941086458	0	0	0	non-mobilisable	other	other	multi-replicon	Firmicutes	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
LN873255.1	4136	-0.383419469914114	21	0	0	0	0	0	mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN873256.1	4135	-0.383524486111435	21	0	0	0	0	0	mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN879484.1	85310	0.930999941956152	21	5	0.586097761106553	1	1	1	non-mobilisable	other	other	multi-replicon	Enterobacteriaceae	1	0	0	1	0	1	0	1	1	1	4	5	5	5	5	5	5	4	5	5
LN897474.2	76863	0.885717331182446	22	3	0.390304828070723	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	0	0	0	0	0	2	3	2	2	3	3	3	3	3	3
LN897475.2	74768	0.873715763680238	22	3	0.401241172694201	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	1	0	1	1	0	0	0	0	0	0	2	3	2	2	3	3	3	3	3	3
LN908839.1	82586	0.916906431847385	21	6	0.726515390017679	0	1	0	mobilisable	other	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN908840.1	146435	1.165644891546	21	9	0.819476218117253	0	1	0	mobilisable	other	other	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LO017728.1	40543	0.607915881388089	23	4	0.986606812520041	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LO017736.1	124392	1.09479245055114	22	8	0.643128175445366	0	0	0	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	0	1	1	0	1	0	4	5	5	5	5	5	5	4	5	5
LO017737.1	175264	1.24369271924869	22	9	0.570567829103524	1	1	1	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	1	1	1	4	5	5	5	5	5	5	4	5	5
LO017738.1	143225	1.15601883092165	22	9	0.628381916564846	0	0	1	conjugative	other	other	multi-replicon	Enterobacteriaceae	1	0	1	1	1	1	1	0	1	1	4	5	5	5	5	5	5	4	5	5
LO018306.1	4522	-0.344669441990659	22	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR025084.1	22667	0.35539404462317	18	0	0	0	0	0	non-mobilisable	United States	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR025086.1	6154	-0.210842508088561	18	0	0	0	0	0	non-mobilisable	United States	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR026972.1	29606	0.471379734803165	19	1	0.337769371073431	0	0	0	non-mobilisable	other	human	untyped	Proteobacteria_other	0	0	0	0	1	0	0	0	1	0	2	2	2	2	1	2	2	2	1	2
LR026973.1	34935	0.543260747590362	21	4	1.05	0	0	0	mobilisable	other	human	untyped	Proteobacteria_other	0	0	0	0	0	1	0	1	0	0	2	2	2	2	2	1	2	1	2	2
LR026974.1	11681	0.0674800239314823	19	0	0	0	0	0	mobilisable	other	human	untyped	Proteobacteria_other	0	0	0	0	1	0	0	0	1	0	2	2	2	2	1	2	2	2	1	2
LR026976.1	43434	0.637829827012092	24	0	0	0	0	0	mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR026982.1	53767	0.730515805125193	25	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134127.1	277534	1.44331619505464	24	3	0.108094864052693	1	1	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134128.1	7647	-0.11650890981107	24	0	0	0	1	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134129.1	4282	-0.36835333704158	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134130.1	2942	-0.531357331608489	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134131.1	2942	-0.531357331608489	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134133.1	6249	-0.204189475332592	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134218.1	107897	1.03300936959896	24	0	0	0	0	0	non-mobilisable	high-income	other	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134219.1	190626	1.28018213495102	24	7	0.367211188400323	1	0	0	conjugative	high-income	other	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134255.1	76530	0.883831713329452	24	1	0.130667712008363	0	0	0	conjugative	other	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134256.1	20968	0.321557007938544	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134257.1	224165	1.35056780498752	24	8	0.356879976802802	1	1	0	non-mobilisable	other	human	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134258.1	30387	0.482687825852957	24	0	0	0	0	0	non-mobilisable	other	human	untyped	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134411.1	2942	-0.531357331608489	24	0	0	0	0	0	non-mobilisable	high-income	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LR134412.1	9075	-0.0421533662918501	24	0	0	0	1	0	non-mobilisable	high-income	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
